1527467964,hestati63,team3,bug4,10
1527470722,2dvorak,team3,bug1,10
1527472049,hestati63,team4,bug4,10
1527477655,hestati63,team3,bug1,10
1527477373,leeswimming,team4,bug4,10
1527486130,zanywhale,team2,bug2,10
1527486705,saykim0727,team3,bug4,10
1527488436,khsdo95,team5,bug2,10
1527488996,hestati63,team2,bug2,10
1527488966,hestati63,team2,bug1,10
1527489998,Hexife,team4,bug2,10
1527491700,Hexife,team4,bug4,10
1527491478,saykim0727,team3,bug1,10
1527495859,zanywhale,team2,bug4,10
1527495806,hestati63,team4,bug1,10
1527496002,sunnyeo,team2,bug4,10
1527496451,hestati63,team2,bug4,10
1527497642,zanywhale,team4,bug4,10
1527498177,hestati63,team3,bug2,10
1527498549,2dvorak,team1,bug4,10
1527505714,AhnMo,team4,bug4,10
1527505459,Hexife,team3,bug4,10
1527505365,Hexife,team3,bug1,10
1527506163,AhnMo,team4,bug2,10
1527506138,2dvorak,team3,bug4,10
1527506849,sunnyeo,team3,bug4,10
1527506695,k1rh4,team3,bug1,10
1527506628,2dvorak,team2,bug4,10
1527506611,sunnyeo,team3,bug1,10
1527506286,AhnMo,team2,bug4,10
1527511154,hestati63,team4,bug2,10
1527508822,k1rh4,team3,bug4,10
1527514667,hestati63,team5,bug1,10
1527513346,AhnMo,team3,bug1,10
